pair,variant,tf,entry_date,exit_date,side,entry_price,sl,exit_reason,pnl,r_multiple
1000SHIB,ST-V2,5m,2026-05-12 23:00:00+00:00,2026-05-12 23:45:00+00:00,long,0.0064,0.0064,sl,-0.0,-1.0
1000SHIB,ST-V2,5m,2026-05-13 19:00:00+00:00,2026-05-14 00:05:00+00:00,short,0.0063,0.0063,sl,0.0,0.1
1000SHIB,ST-V2,5m,2026-05-14 00:05:00+00:00,2026-05-14 03:20:00+00:00,long,0.0063,0.0062,sl,-0.0001,-1.0
1000SHIB,ST-V2,5m,2026-05-14 11:20:00+00:00,2026-05-14 12:35:00+00:00,short,0.0063,0.0063,sl,-0.0,-1.0
1000SHIB,ST-V2,5m,2026-05-14 13:20:00+00:00,2026-05-14 18:20:00+00:00,long,0.0063,0.0062,tp2,0.0001,1.6
1000SHIB,ST-V2,5m,2026-05-15 00:35:00+00:00,2026-05-15 02:30:00+00:00,short,0.0064,0.0064,tp2,0.0001,1.6
1000SHIB,ST-V2,5m,2026-05-15 08:15:00+00:00,2026-05-15 13:30:00+00:00,short,0.0063,0.0063,tp2,0.0001,2.0
1000SHIB,ST-V2,5m,2026-05-15 23:25:00+00:00,2026-05-16 00:40:00+00:00,short,0.0061,0.0061,sl,-0.0,-1.0
1000SHIB,ST-V2,5m,2026-05-16 02:00:00+00:00,2026-05-16 04:20:00+00:00,long,0.0061,0.0061,sl,-0.0,-1.0
AAVE,ST-V2,5m,2026-05-13 01:05:00+00:00,2026-05-13 03:40:00+00:00,long,97.15,96.4039,tp2,1.1938,1.6
AAVE,ST-V2,5m,2026-05-13 19:20:00+00:00,2026-05-13 23:55:00+00:00,short,95.51,96.3723,sl,-0.8623,-1.0
AAVE,ST-V2,5m,2026-05-14 10:35:00+00:00,2026-05-14 12:30:00+00:00,short,96.46,96.9778,sl,-0.5178,-1.0
AAVE,ST-V2,5m,2026-05-14 13:45:00+00:00,2026-05-14 14:55:00+00:00,long,97.32,96.2847,tp2,1.6565,1.6
AAVE,ST-V2,5m,2026-05-15 00:40:00+00:00,2026-05-15 05:25:00+00:00,short,98.53,99.231,tp2,1.1215,1.6
AAVE,ST-V2,5m,2026-05-15 10:35:00+00:00,2026-05-15 13:35:00+00:00,short,95.96,96.7834,tp2,1.3174,1.6
AAVE,ST-V2,5m,2026-05-15 18:15:00+00:00,2026-05-16 03:25:00+00:00,short,93.5,94.2029,tp2,1.1247,1.6
ALGO,ST-V2,5m,2026-05-12 18:55:00+00:00,2026-05-12 19:05:00+00:00,short,0.1212,0.1218,sl,-0.0006,-1.0
ALGO,ST-V2,5m,2026-05-13 04:10:00+00:00,2026-05-13 05:35:00+00:00,long,0.1237,0.1231,sl,0.0001,0.1
ALGO,ST-V2,5m,2026-05-13 06:30:00+00:00,2026-05-13 12:20:00+00:00,short,0.1233,0.1247,tp2,0.0023,1.6
ALGO,ST-V2,5m,2026-05-14 00:05:00+00:00,2026-05-14 03:20:00+00:00,long,0.1189,0.117,sl,-0.0019,-1.0
ALGO,ST-V2,5m,2026-05-14 07:05:00+00:00,2026-05-14 14:20:00+00:00,short,0.1174,0.1183,sl,0.0001,0.1
ALGO,ST-V2,5m,2026-05-14 16:05:00+00:00,2026-05-15 02:15:00+00:00,long,0.1214,0.1182,sl,-0.0032,-1.0
ALGO,ST-V2,5m,2026-05-15 08:00:00+00:00,2026-05-15 10:50:00+00:00,short,0.1158,0.1168,sl,-0.001,-1.0
