pair,entry_date,exit_date,side,entry_price,sl,tp1,tp2,exit_reason,pnl,r_multiple,sweep_val,sweep_vah,poc,ema21,ema55,body_ratio,volume_ratio
ATOM,2026-05-18 11:20:00+00:00,2026-05-18 17:45:00+00:00,short,2.019,2.0473,1.985,1.9624,sl,0.0028,0.1,2.0264,2.045,2.0342,2.0312,2.0261,0.53,0.52
ARB,2026-05-16 13:50:00+00:00,2026-05-16 14:30:00+00:00,short,0.1189,0.1196,0.118,0.1174,sl,-0.0007,-1.0,0.1189,0.1194,0.1192,0.1192,0.1192,0.67,1.93
ARB,2026-05-17 05:45:00+00:00,2026-05-17 13:15:00+00:00,long,0.121,0.1195,0.1228,0.1241,sl,-0.0015,-1.0,0.1212,0.122,0.1218,0.1213,0.1214,0.44,5.02
ARB,2026-05-17 15:35:00+00:00,2026-05-17 23:40:00+00:00,short,0.119,0.1204,0.1173,0.1161,tp2,0.0023,1.6,0.117,0.1186,0.1175,0.1177,0.1183,0.47,13.73
ARB,2026-05-18 00:05:00+00:00,2026-05-19 00:20:00+00:00,short,0.1153,0.1186,0.1114,0.1088,sl,-0.0033,-1.0,0.1171,0.1177,0.1173,0.1176,0.1172,0.2,1.63
APT,2026-05-16 13:20:00+00:00,2026-05-16 14:25:00+00:00,short,0.9488,0.953,0.9438,0.9405,sl,-0.0042,-1.0,0.9481,0.9514,0.9497,0.95,0.9499,0.34,1.67
APT,2026-05-16 20:20:00+00:00,2026-05-17 00:55:00+00:00,short,0.9509,0.9561,0.9447,0.9405,tp2,0.0083,1.6,0.9446,0.947,0.9466,0.9449,0.947,0.55,6.66
APT,2026-05-17 05:05:00+00:00,2026-05-17 14:10:00+00:00,long,0.9519,0.9383,0.9682,0.979,sl,0.0014,0.1,0.9396,0.96,0.9461,0.9492,0.9546,0.58,0.62
APT,2026-05-17 16:50:00+00:00,2026-05-17 19:40:00+00:00,short,0.9394,0.9455,0.9321,0.9272,sl,0.0006,0.1,0.9328,0.9389,0.9342,0.9406,0.9409,0.59,1.08
APT,2026-05-18 09:00:00+00:00,2026-05-18 10:20:00+00:00,short,0.9229,0.9268,0.9182,0.9151,tp2,0.0062,1.6,0.9188,0.9246,0.9201,0.9201,0.9228,0.07,1.65
APT,2026-05-18 13:05:00+00:00,2026-05-18 13:35:00+00:00,long,0.9338,0.9252,0.9442,0.9511,sl,-0.0086,-1.0,0.9288,0.9393,0.9334,0.933,0.9292,0.26,2.94
APT,2026-05-18 16:55:00+00:00,2026-05-18 17:30:00+00:00,short,0.9198,0.9277,0.9104,0.9041,sl,-0.0079,-1.0,0.9192,0.9252,0.9228,0.9239,0.9246,0.06,0.23
